,value
best_C,100.0
loo_acc,1.0
log_loss,0.013215651113516922
board1_coef,7.917836303881403
board1_OR,2745.8234860753087
board2_coef,5.0081554853354575
board2_OR,149.62848951374167
board3_coef,6.301170992125619
board3_OR,545.209973054942
