,coef_full,coef_clean,delta,pct_change
board1_eff,1.9060067129941072,1.6312664117119813,-0.2747403012821259,-14.4
board2_eff,1.740850631473375,1.360875256525973,-0.37997537494740197,-21.8
board3_eff,2.1221412386686045,1.6599750338463743,-0.46216620482223014,-21.8
