C,loo_acc,log_loss,board1_coef,board2_coef,board3_coef
0.001,0.6346,0.6874,0.0203,0.0206,0.021
0.01,1.0,0.537,0.1577,0.1586,0.1635
0.1,1.0,0.2675,0.6048,0.5786,0.6336
0.5,1.0,0.1588,1.1769,1.0023,1.1762
1.0,1.0,0.1285,1.5651,1.2312,1.4855
5.0,1.0,0.0722,3.082,2.0309,2.5542
10.0,1.0,0.0518,4.0157,2.5552,3.2321
100.0,1.0,0.0132,7.9178,5.0082,6.3012
