tournament_round,match_id,sub_round,sub_round_score_a,sub_round_score_b,player_a_name,player_a_nick,player_a_team,player_b_name,player_b_nick,player_b_team,score_a,score_b,total_games,winner
1,Czechia D vs Hungary C?Authuser=0,2,33.0,3.0,Tomáš Palacký,wbctasemnice,Czechia D,Krisztina Kamarás,wbckaktuszka,Hungary C?Authuser=0,11.0,1.0,12.0,A
1,Czechia D vs Hungary C?Authuser=0,3,35.0,1.0,Matěj Holub,wbcpiggi,Czechia D,Krisztina Kamarás,wbckaktuszka,Hungary C?Authuser=0,12.0,0.0,12.0,A
1,Czechia D vs Hungary C?Authuser=0,3,35.0,1.0,Josef Holba,wbcwonderwall,Czechia D,M. Nándor Halena,wbctorpe,Hungary C?Authuser=0,12.0,0.0,12.0,A
1,Czechia D vs Hungary C?Authuser=0,3,35.0,1.0,Tomáš Palacký,wbctasemnice,Czechia D,Csaba Kamarás,wbccsaba,Hungary C?Authuser=0,11.0,1.0,12.0,A
1,Hungary B vs Hungary A,1,7.0,29.0,Ferenc Rostás,wbcrostas,Hungary B,Zoltán Sonkoly,wbciron,Hungary A,2.0,10.0,12.0,B
1,Hungary B vs Hungary A,1,7.0,29.0,Róbert Pátkai,wbcnirvana,Hungary B,Ciarán Lucey,wbcciaran,Hungary A,4.0,8.0,12.0,B
1,Hungary B vs Hungary A,1,7.0,29.0,Gábor Nagy,wbcasz,Hungary B,Zoltán László,wbczoli,Hungary A,1.0,11.0,12.0,B
1,Hungary B vs Hungary A,2,6.0,30.0,Ferenc Rostás,wbcrostas,Hungary B,Zoltán László,wbczoli,Hungary A,1.0,11.0,12.0,B
1,Hungary B vs Hungary A,2,6.0,30.0,Róbert Pátkai,wbcnirvana,Hungary B,Zoltán Sonkoly,wbciron,Hungary A,1.0,11.0,12.0,B
1,Hungary B vs Hungary A,2,6.0,30.0,Gábor Nagy,wbcasz,Hungary B,Ciarán Lucey,wbcciaran,Hungary A,4.0,8.0,12.0,B
1,Hungary B vs Hungary A,3,7.0,29.0,Róbert Pátkai,wbcnirvana,Hungary B,Zoltán László,wbczoli,Hungary A,2.0,10.0,12.0,B
1,Hungary B vs Hungary A,3,7.0,29.0,Gábor Nagy,wbcasz,Hungary B,Márk Horváth,wbcmark,Hungary A,3.0,9.0,12.0,B
