tournament_round,match_id,sub_round,sub_round_score_a,sub_round_score_b,player_a_name,player_a_nick,player_a_team,player_b_name,player_b_nick,player_b_team,score_a,score_b,total_games,winner
2,Czechia F vs Team International D,3,13.5,22.5,Libor Krejčíř,wbcadelstepan,Czechia F,Wang Siyuan,wbc1211,Team International D,10.0,2.0,12.0,A
2,Czechia F vs Team International D,3,13.5,22.5,Jakub Šalajka,wbcvotocek,Czechia F,Nguyễn Công Minh,wbcnguyenminh,Team International D,2.5,9.5,12.0,B
2,Czechia F vs Team International D,3,13.5,22.5,Vít Jiřík,wbcskoupy,Czechia F,Li Fuwen,wbcplayer,Team International D,1.0,11.0,12.0,B
2,Hungary A vs Czechia A,1,23.5,12.5,Zoltán László,wbczoli,Hungary A,Petr Žižka,wbcc,Czechia A,12.0,0.0,12.0,A
2,Hungary A vs Czechia A,1,23.5,12.5,Márk Horváth,wbcmark,Hungary A,Adam Horváth,wbca,Czechia A,6.0,6.0,12.0,Draw
2,Hungary A vs Czechia A,1,23.5,12.5,Zoltán Sonkoly,wbciron,Hungary A,František Fňukal,wbcd,Czechia A,5.5,6.5,12.0,B
2,Hungary A vs Czechia A,2,14.0,22.0,Zoltán László,wbczoli,Hungary A,František Fňukal,wbcd,Czechia A,8.0,4.0,12.0,A
2,Hungary A vs Czechia A,2,14.0,22.0,Márk Horváth,wbcmark,Hungary A,Petr Žižka,wbcc,Czechia A,4.0,8.0,12.0,B
2,Hungary A vs Czechia A,2,14.0,22.0,Zoltán Sonkoly,wbciron,Hungary A,Adam Horváth,wbca,Czechia A,2.0,10.0,12.0,B
2,Hungary A vs Czechia A,3,20.5,15.5,Zoltán László,wbczoli,Hungary A,Adam Horváth,wbca,Czechia A,10.5,1.5,12.0,A
2,Hungary A vs Czechia A,3,20.5,15.5,Márk Horváth,wbcmark,Hungary A,František Fňukal,wbcd,Czechia A,5.0,7.0,12.0,B
2,Hungary A vs Czechia A,3,20.5,15.5,Zoltán Sonkoly,wbciron,Hungary A,Petr Žižka,wbcc,Czechia A,5.0,7.0,12.0,B
2,Hungary C vs Hungary B,1,0.0,36.0,Krisztina Kamarás,wbckaktuszka,Hungary C,Zoltán Menyhárt,wbclasek,Hungary B,0.0,12.0,12.0,B
2,Hungary C vs Hungary B,1,0.0,36.0,Csaba Kamarás,wbccsaba,Hungary C,Róbert Pátkai,wbcnirvana,Hungary B,0.0,12.0,12.0,B
2,Hungary C vs Hungary B,1,0.0,36.0,M. Nándor Halena,wbctorpe,Hungary C,Gábor Nagy,wbcasz,Hungary B,0.0,12.0,12.0,B
2,Hungary C vs Hungary B,2,0.0,36.0,Krisztina Kamarás,wbckaktuszka,Hungary C,Gábor Nagy,wbcasz,Hungary B,0.0,12.0,12.0,B
2,Hungary C vs Hungary B,2,0.0,36.0,Csaba Kamarás,wbccsaba,Hungary C,Zoltán Menyhárt,wbclasek,Hungary B,0.0,12.0,12.0,B
2,Hungary C vs Hungary B,2,0.0,36.0,M. Nándor Halena,wbctorpe,Hungary C,Róbert Pátkai,wbcnirvana,Hungary B,0.0,12.0,12.0,B
2,Hungary C vs Hungary B,3,1.0,35.0,Krisztina Kamarás,wbckaktuszka,Hungary C,Róbert Pátkai,wbcnirvana,Hungary B,0.0,12.0,12.0,B
2,Hungary C vs Hungary B,3,1.0,35.0,Csaba Kamarás,wbccsaba,Hungary C,Gábor Nagy,wbcasz,Hungary B,0.0,12.0,12.0,B
2,Hungary C vs Hungary B,3,1.0,35.0,M. Nándor Halena,wbctorpe,Hungary C,Ferenc Rostás,wbcrostas,Hungary B,1.0,11.0,12.0,B
2,Russia vs Poland B,1,24.0,12.0,Ilya Muratov,wbcfurla,Russia,Piotr Małowiejski,wbcangst,Poland B,7.0,5.0,12.0,A
2,Russia vs Poland B,1,24.0,12.0,Denis Kachaev,wbcmk108,Russia,Michał Pietrusiak,wbcsiwer,Poland B,7.0,5.0,12.0,A
2,Russia vs Poland B,1,24.0,12.0,Alexey Lebedev,wbcalleb,Russia,Karol Podwyszyński,wbccrosslet,Poland B,10.0,2.0,12.0,A
2,Russia vs Poland B,2,24.0,12.0,Ilya Muratov,wbcfurla,Russia,Michał Pietrusiak,wbcsiwer,Poland B,6.0,6.0,12.0,Draw
2,Russia vs Poland B,2,24.0,12.0,Denis Kachaev,wbcmk108,Russia,Karol Podwyszyński,wbccrosslet,Poland B,10.0,2.0,12.0,A
2,Russia vs Poland B,2,24.0,12.0,Alexey Lebedev,wbcalleb,Russia,Piotr Małowiejski,wbcangst,Poland B,8.0,4.0,12.0,A
2,Russia vs Poland B,3,27.0,9.0,Ilya Muratov,wbcfurla,Russia,Karol Podwyszyński,wbccrosslet,Poland B,11.0,1.0,12.0,A
2,Russia vs Poland B,3,27.0,9.0,Denis Kachaev,wbcmk108,Russia,Piotr Małowiejski,wbcangst,Poland B,9.0,3.0,12.0,A
2,Russia vs Poland B,3,27.0,9.0,Alexey Lebedev,wbcalleb,Russia,Michał Pietrusiak,wbcsiwer,Poland B,7.0,5.0,12.0,A
2,Team International B vs Team International C,1,27.0,9.0,Konstantin Solomatin,wbcset,Team International B,Stanislav Hyžík sr.,wbcgeordie,Team International C,10.0,2.0,12.0,A
2,Team International B vs Team International C,1,27.0,9.0,Anton Efremov,wbcbogimp,Team International B,Richard Červenka,wbcrichi,Team International C,12.0,0.0,12.0,A
2,Team International B vs Team International C,1,27.0,9.0,Eva Orlova,wbckakosik,Team International B,Stanislav Hyžík jr.,wbccoldmind,Team International C,5.0,7.0,12.0,B
2,Team International B vs Team International C,2,28.0,8.0,Konstantin Solomatin,wbcset,Team International B,Richard Červenka,wbcrichi,Team International C,12.0,0.0,12.0,A
2,Team International B vs Team International C,2,28.0,8.0,Anton Efremov,wbcbogimp,Team International B,Stanislav Hyžík jr.,wbccoldmind,Team International C,10.0,2.0,12.0,A
2,Team International B vs Team International C,2,28.0,8.0,Eva Orlova,wbckakosik,Team International B,Stanislav Hyžík sr.,wbcgeordie,Team International C,6.0,6.0,12.0,Draw
2,Team International B vs Team International C,3,26.0,10.0,Konstantin Solomatin,wbcset,Team International B,Stanislav Hyžík jr.,wbccoldmind,Team International C,7.0,5.0,12.0,A
2,Team International B vs Team International C,3,26.0,10.0,Anton Efremov,wbcbogimp,Team International B,Stanislav Hyžík sr.,wbcgeordie,Team International C,8.0,4.0,12.0,A
2,Team International B vs Team International C,3,26.0,10.0,Hajnalka Kovács,wbchajnal,Team International B,Richard Červenka,wbcrichi,Team International C,11.0,1.0,12.0,A
3,Czechia A vs Team International B,1,32.5,3.5,František Fňukal,wbcd,Czechia A,Anton Efremov,wbcbogimp,Team International B,10.5,1.5,12.0,A
3,Czechia A vs Team International B,1,32.5,3.5,Petr Žižka,wbcc,Czechia A,Konstantin Solomatin,wbcset,Team International B,12.0,0.0,12.0,A
3,Czechia A vs Team International B,1,32.5,3.5,Adam Horváth,wbca,Czechia A,Eva Orlova,wbckakosik,Team International B,10.0,2.0,12.0,A
3,Czechia A vs Team International B,2,29.5,6.5,František Fňukal,wbcd,Czechia A,Konstantin Solomatin,wbcset,Team International B,7.5,4.5,12.0,A
3,Czechia A vs Team International B,2,29.5,6.5,Petr Žižka,wbcc,Czechia A,Eva Orlova,wbckakosik,Team International B,12.0,0.0,12.0,A
3,Czechia A vs Team International B,2,29.5,6.5,Adam Horváth,wbca,Czechia A,Anton Efremov,wbcbogimp,Team International B,10.0,2.0,12.0,A
3,Czechia A vs Team International B,3,31.0,5.0,František Fňukal,wbcd,Czechia A,Hajnalka Kovács,wbchajnal,Team International B,12.0,0.0,12.0,A
3,Czechia A vs Team International B,3,31.0,5.0,Petr Žižka,wbcc,Czechia A,Anton Efremov,wbcbogimp,Team International B,11.0,1.0,12.0,A
3,Czechia A vs Team International B,3,31.0,5.0,Adam Horváth,wbca,Czechia A,Konstantin Solomatin,wbcset,Team International B,8.0,4.0,12.0,A
3,Czechia B vs Poland A,1,6.0,30.0,Jakub Horák,wbc3ifndef,Czechia B,Michał Zajk,wbcpuholek,Poland A,2.0,10.0,12.0,B
3,Czechia B vs Poland A,1,6.0,30.0,Lukáš Souček,wbciwbtc,Czechia B,Adrian Fitzermann,wbcquantum,Poland A,1.0,11.0,12.0,B
3,Czechia B vs Poland A,1,6.0,30.0,Martin Muzika,wbcmartez,Czechia B,Michał Żukowski,wbcbeetle,Poland A,3.0,9.0,12.0,B
3,Czechia B vs Poland A,2,10.0,26.0,Jakub Horák,wbc3ifndef,Czechia B,Michał Żukowski,wbcbeetle,Poland A,2.0,10.0,12.0,B
3,Czechia B vs Poland A,2,10.0,26.0,Lukáš Souček,wbciwbtc,Czechia B,Michał Zajk,wbcpuholek,Poland A,4.0,8.0,12.0,B
3,Czechia B vs Poland A,2,10.0,26.0,Martin Muzika,wbcmartez,Czechia B,Adrian Fitzermann,wbcquantum,Poland A,4.0,8.0,12.0,B
3,Czechia B vs Poland A,3,7.5,28.5,Jakub Horák,wbc3ifndef,Czechia B,Adrian Fitzermann,wbcquantum,Poland A,0.0,12.0,12.0,B
3,Czechia B vs Poland A,3,7.5,28.5,Lukáš Souček,wbciwbtc,Czechia B,Michał Żukowski,wbcbeetle,Poland A,3.5,8.5,12.0,B
3,Czechia B vs Poland A,3,7.5,28.5,Martin Muzika,wbcmartez,Czechia B,Michał Zajk,wbcpuholek,Poland A,4.0,8.0,12.0,B
3,Czechia C vs Poland B,1,18.0,18.0,Alois Mikeš,wbclojzeidon,Czechia C,Paweł Nowak,wbcpeaceman,Poland B,8.0,4.0,12.0,A
3,Czechia C vs Poland B,1,18.0,18.0,Štěpán Tesařík,wbcperoxid,Czechia C,Michał Pietrusiak,wbcsiwer,Poland B,4.0,8.0,12.0,B
3,Czechia C vs Poland B,1,18.0,18.0,Petr Podolský,wbcdistilfire,Czechia C,Piotr Małowiejski,wbcangst,Poland B,6.0,6.0,12.0,Draw
3,Czechia C vs Poland B,2,17.0,19.0,Alois Mikeš,wbclojzeidon,Czechia C,Michał Pietrusiak,wbcsiwer,Poland B,8.0,4.0,12.0,A
3,Czechia C vs Poland B,2,17.0,19.0,Štěpán Tesařík,wbcperoxid,Czechia C,Piotr Małowiejski,wbcangst,Poland B,5.0,7.0,12.0,B
3,Czechia C vs Poland B,2,17.0,19.0,Petr Podolský,wbcdistilfire,Czechia C,Paweł Nowak,wbcpeaceman,Poland B,4.0,8.0,12.0,B
3,Czechia C vs Poland B,3,13.0,23.0,Petr Podolský,wbcdistilfire,Czechia C,Michał Pietrusiak,wbcsiwer,Poland B,3.0,9.0,12.0,B
3,Czechia C vs Poland B,3,13.0,23.0,Alois Mikeš,wbclojzeidon,Czechia C,Piotr Małowiejski,wbcangst,Poland B,8.0,4.0,12.0,A
3,Czechia C vs Poland B,3,13.0,23.0,Štěpán Tesařík,wbcperoxid,Czechia C,Paweł Nowak,wbcpeaceman,Poland B,2.0,10.0,12.0,B
3,Czechia D vs Hungary A,1,7.5,28.5,Matěj Holub,wbcpiggi,Czechia D,Márk Horváth,wbcmark,Hungary A,3.0,9.0,12.0,B
3,Czechia D vs Hungary A,1,7.5,28.5,Josef Holba,wbcwonderwall,Czechia D,Ciarán Lucey,wbcciaran,Hungary A,2.0,10.0,12.0,B
3,Czechia D vs Hungary A,1,7.5,28.5,Jakub Fojtík,wbcfojtman,Czechia D,Zoltán Sonkoly,wbciron,Hungary A,2.5,9.5,12.0,B
3,Czechia D vs Hungary A,2,7.0,29.0,Jakub Fojtík,wbcfojtman,Czechia D,Ciarán Lucey,wbcciaran,Hungary A,5.0,7.0,12.0,B
3,Czechia D vs Hungary A,2,7.0,29.0,Josef Holba,wbcwonderwall,Czechia D,Zoltán László,wbczoli,Hungary A,0.0,12.0,12.0,B
3,Czechia D vs Hungary A,2,7.0,29.0,Tomáš Palacký,wbctasemnice,Czechia D,Zoltán Sonkoly,wbciron,Hungary A,2.0,10.0,12.0,B
3,Czechia D vs Hungary A,3,6.0,30.0,Jakub Fojtík,wbcfojtman,Czechia D,Zoltán László,wbczoli,Hungary A,0.0,12.0,12.0,B
3,Czechia D vs Hungary A,3,6.0,30.0,wb ciron ) 0:12  Tomáš Palacký,wbctasemnice,Czechia D,Ciarán Lucey,wbcciaran,Hungary A,6.0,6.0,12.0,Draw
3,Czechia F vs Slovakia,1,12.0,24.0,Vít Jiřík,wbcskoupy,Czechia F,Milán Nagy,wbcgenghis,Slovakia,3.0,9.0,12.0,B
3,Czechia F vs Slovakia,1,12.0,24.0,Libor Krejčíř,wbcadelstepan,Czechia F,Igor Eged,wbcg3m,Slovakia,2.0,10.0,12.0,B
3,Czechia F vs Slovakia,1,12.0,24.0,Jakub Šalajka,wbcvotocek,Czechia F,Michal Ferdinandy,wbcmichi,Slovakia,7.0,5.0,12.0,A
3,Czechia F vs Slovakia,2,6.5,29.5,Jakub Šalajka,wbcvotocek,Czechia F,Igor Eged,wbcg3m,Slovakia,3.5,8.5,12.0,B
3,Czechia F vs Slovakia,2,6.5,29.5,Libor Krejčíř,wbcadelstepan,Czechia F,Milán Nagy,wbcgenghis,Slovakia,2.0,10.0,12.0,B
3,Czechia F vs Slovakia,2,6.5,29.5,Vít Jiřík,wbcskoupy,Czechia F,Michal Ferdinandy,wbcmichi,Slovakia,1.0,11.0,12.0,B
3,Czechia F vs Slovakia,3,6.5,29.5,Jakub Šalajka,wbcvotocek,Czechia F,Milán Nagy,wbcgenghis,Slovakia,5.5,6.5,12.0,B
3,Czechia F vs Slovakia,3,6.5,29.5,Libor Krejčíř,wbcadelstepan,Czechia F,Michal Ferdinandy,wbcmichi,Slovakia,1.0,11.0,12.0,B
3,Czechia F vs Slovakia,3,6.5,29.5,Vít Jiřík,wbcskoupy,Czechia F,Igor Eged,wbcg3m,Slovakia,0.0,12.0,12.0,B
3,Hungary B vs Team International D,1,19.5,16.5,Róbert Pátkai,wbcnirvana,Hungary B,Nguyễn Công Minh,wbcnguyenminh,Team International D,2.0,10.0,12.0,B
3,Hungary B vs Team International D,1,19.5,16.5,Gábor Nagy,wbcasz,Hungary B,Li Fuwen,wbcplayer,Team International D,5.5,6.5,12.0,B
3,Hungary B vs Team International D,1,19.5,16.5,Ferenc Rostás,wbcrostas,Hungary B,Bai Liu,wbcmulan,Team International D,12.0,0.0,12.0,A
3,Hungary B vs Team International D,2,24.0,12.0,Róbert Pátkai,wbcnirvana,Hungary B,Bai Liu,wbcmulan,Team International D,12.0,0.0,12.0,A
3,Hungary B vs Team International D,2,24.0,12.0,Gábor Nagy,wbcasz,Hungary B,Nguyễn Công Minh,wbcnguyenminh,Team International D,4.0,8.0,12.0,B
3,Hungary B vs Team International D,2,24.0,12.0,Ferenc Rostás,wbcrostas,Hungary B,Li Fuwen,wbcplayer,Team International D,8.0,4.0,12.0,A
3,Hungary B vs Team International D,3,19.0,17.0,Róbert Pátkai,wbcnirvana,Hungary B,Li Fuwen,wbcplayer,Team International D,4.0,8.0,12.0,B
3,Hungary B vs Team International D,3,19.0,17.0,Zoltán Menyhárt,wbclasek,Hungary B,Bai Liu,wbcmulan,Team International D,11.0,1.0,12.0,A
3,Hungary B vs Team International D,3,19.0,17.0,Ferenc Rostás,wbcrostas,Hungary B,Nguyễn Công Minh,wbcnguyenminh,Team International D,4.0,8.0,12.0,B
3,Hungary C vs China,1,0.0,36.0,M. Nándor Halena,wbctorpe,Hungary C,Liu Wenhao,wbcyu20,China,0.0,12.0,12.0,B
3,Hungary C vs China,1,0.0,36.0,Krisztina Kamarás,wbckaktuszka,Hungary C,Liu Xiangbo,wbcuida,China,0.0,12.0,12.0,B
3,Hungary C vs China,1,0.0,36.0,Csaba Kamarás,wbccsaba,Hungary C,Zhang Haoxiang,wbcpangbai,China,0.0,12.0,12.0,B
3,Hungary C vs China,2,2.0,34.0,M. Nándor Halena,wbctorpe,Hungary C,Liu Xiangbo,wbcuida,China,0.0,12.0,12.0,B
3,Hungary C vs China,2,2.0,34.0,Krisztina Kamarás,wbckaktuszka,Hungary C,Zhang Haoxiang,wbcpangbai,China,1.0,11.0,12.0,B
3,Hungary C vs China,2,2.0,34.0,Csaba Kamarás,wbccsaba,Hungary C,Liu Wenhao,wbcyu20,China,1.0,11.0,12.0,B
3,Hungary C vs China,3,1.0,35.0,M. Nándor Halena,wbctorpe,Hungary C,Zhang Haoxiang,wbcpangbai,China,0.0,12.0,12.0,B
3,Hungary C vs China,3,1.0,35.0,Krisztina Kamarás,wbckaktuszka,Hungary C,Liu Wenhao,wbcyu20,China,1.0,11.0,12.0,B
3,Hungary C vs China,3,1.0,35.0,Csaba Kamarás,wbccsaba,Hungary C,Liu Xiangbo,wbcuida,China,0.0,12.0,12.0,B
3,Russia vs Team International A,1,14.5,21.5,Denis Kachaev,wbcmk108,Russia,Matīss Riherts,wbcmatiss,Team International A,4.5,7.5,12.0,B
3,Russia vs Team International A,1,14.5,21.5,Ilya Muratov,wbcfurla,Russia,Łukasz Majksner,wbcheater,Team International A,6.0,6.0,12.0,Draw
3,Russia vs Team International A,1,14.5,21.5,Alexey Lebedev,wbcalleb,Russia,Szczepan Łukasik,wbckremufka,Team International A,4.0,8.0,12.0,B
3,Russia vs Team International A,2,14.0,22.0,Denis Kachaev,wbcmk108,Russia,Łukasz Majksner,wbcheater,Team International A,5.0,7.0,12.0,B
3,Russia vs Team International A,2,14.0,22.0,Ilya Muratov,wbcfurla,Russia,Szczepan Łukasik,wbckremufka,Team International A,7.0,5.0,12.0,A
3,Russia vs Team International A,2,14.0,22.0,Alexey Lebedev,wbcalleb,Russia,Matīss Riherts,wbcmatiss,Team International A,2.0,10.0,12.0,B
3,Russia vs Team International A,3,18.0,18.0,Denis Kachaev,wbcmk108,Russia,Ashot Avetisyan,wbcashot,Team International A,7.0,5.0,12.0,A
3,Russia vs Team International A,3,18.0,18.0,Ilya Muratov,wbcfurla,Russia,Matīss Riherts,wbcmatiss,Team International A,5.0,7.0,12.0,B
3,Russia vs Team International A,3,18.0,18.0,Ilya Katsev,wbcbromozel,Russia,Łukasz Majksner,wbcheater,Team International A,6.0,6.0,12.0,Draw
3,Team International C vs Czechia E,1,9.0,27.0,Richard Červenka,wbcrichi,Team International C,Radim Kostlivý,wbcshpek,Czechia E,0.0,12.0,12.0,B
3,Team International C vs Czechia E,1,9.0,27.0,Stanislav Hyžík jr.,wbccoldmind,Team International C,Jan Purkrábek,wbcpurkys,Czechia E,7.0,5.0,12.0,A
3,Team International C vs Czechia E,1,9.0,27.0,Stanislav Hyžík sr.,wbcgeordie,Team International C,Jan Kopecký,wbcdeafbat,Czechia E,2.0,10.0,12.0,B
3,Team International C vs Czechia E,2,15.0,21.0,Richard Červenka,wbcrichi,Team International C,Jan Kopecký,wbcdeafbat,Czechia E,0.0,12.0,12.0,B
3,Team International C vs Czechia E,2,15.0,21.0,Stanislav Hyžík jr.,wbccoldmind,Team International C,Radim Kostlivý,wbcshpek,Czechia E,6.0,6.0,12.0,Draw
3,Team International C vs Czechia E,2,15.0,21.0,Stanislav Hyžík sr.,wbcgeordie,Team International C,Jan Purkrábek,wbcpurkys,Czechia E,9.0,3.0,12.0,A
3,Team International C vs Czechia E,3,15.0,21.0,Richard Červenka,wbcrichi,Team International C,Jan Purkrábek,wbcpurkys,Czechia E,4.0,8.0,12.0,B
3,Team International C vs Czechia E,3,15.0,21.0,Stanislav Hyžík jr.,wbccoldmind,Team International C,Jan Kopecký,wbcdeafbat,Czechia E,6.0,6.0,12.0,Draw
3,Team International C vs Czechia E,3,15.0,21.0,Stanislav Hyžík sr.,wbcgeordie,Team International C,Radim Kostlivý,wbcshpek,Czechia E,5.0,7.0,12.0,B
