player_nick,player_name,team,total_score,total_games,career_efficiency,eff_std,eff_min,eff_max,eff_range
wbcadelstepan,Libor Krejčíř,Czechia F,21.0,72.0,0.2917,0.2160211216524903,0.1389,0.4444,0.3055
wbckakosik,Eva Orlova,Team International B,13.0,48.0,0.2708,0.2651650429449553,0.0833,0.4583,0.375
wbcpurkys,Jan Purkrábek,Czechia E,29.0,108.0,0.2685,0.19703251846670725,0.0556,0.4444,0.38880000000000003
wbcskoupy,Vít Jiřík,Czechia F,14.0,60.0,0.2333,0.21609183233060894,0.1111,0.4167,0.3056
wbccrosslet,Karol Podwyszyński,Poland B,5.0,36.0,0.1389,,0.1389,0.1389,0.0
wbcseabow,Jana Adámková,Team International C,4.0,36.0,0.1111,,0.1111,0.1111,0.0
wbc1211,Wang Siyuan,Team International D,7.0,72.0,0.0972,0.058901994872839404,0.0556,0.1389,0.0833
wbcrichi,Richard Červenka,Team International C,5.0,72.0,0.0694,0.058901994872839404,0.0278,0.1111,0.08330000000000001
wbcfuzaty,Michal Holec,Team International C,1.0,24.0,0.0417,,0.0417,0.0417,0.0
wbccsaba,Csaba Kamarás,Hungary C,4.0,108.0,0.037,0.042410651177897905,0.0,0.0833,0.0833
wbckaktuszka,Krisztina Kamarás,Hungary C,4.0,108.0,0.037,0.03210067496694319,0.0,0.0556,0.0556
wbc366,Wang Haoran,China,1.0,36.0,0.0278,,0.0278,0.0278,0.0
wbcmulan,Bai Liu,Team International D,1.0,36.0,0.0278,,0.0278,0.0278,0.0
wbctorpe,M. Nándor Halena,Hungary C,3.0,108.0,0.0278,0.027800000000000002,0.0,0.0556,0.0556
