,value
best_C,100.0
loo_acc,1.0
log_loss,0.01375406862069187
board1_coef,7.770398038460325
board1_OR,2369.4142186691074
board2_coef,4.996028540618317
board2_OR,147.8249111441079
board3_coef,6.32011854527529
board3_OR,555.6388569086195
