player_nick,player_name,team,total_score,total_games,career_efficiency,eff_std,eff_min,eff_max,eff_range,adjusted_efficiency,sos,consistency,rank,composite_index
wbcmark,Márk Horváth,Hungary A,33.0,60.0,0.55,0.1924308447209022,0.4167,0.75,0.3333,0.4809539502388687,0.61368,0.6667000000000001,30.0,-33.14295691351781
wbcset,Konstantin Solomatin,Team International B,37.5,72.0,0.5208,0.4026973118857389,0.2361,0.8056,0.5695,0.4756995493591855,0.48113333333333336,0.4305,34.0,-33.625075507981364
wbctasemnice,wb ciron ) 0:12  Tomáš Palacký,Czechia D,46.0,96.0,0.4792,0.3781577624924991,0.1667,0.8889,0.7222000000000001,0.467145312092159,0.38732500000000003,0.27779999999999994,38.0,-34.18795057958697
wbclojzeidon,Alois Mikeš,Team International D,51.5,108.0,0.4769,0.2708506661120354,0.1667,0.6667,0.5,0.47689999999999994,0.6017888888888889,0.5,40.0,-35.26368823662863
wbc3ifndef,Jakub Horák,Czechia B,54.0,108.0,0.5,0.3469576775343068,0.1111,0.7778,0.6667000000000001,0.5,0.6015,0.33329999999999993,36.0,-35.393648671174645
wbcrostas,Ferenc Rostás,Hungary B,38.0,72.0,0.5278,0.4047072563388668,0.125,0.9167,0.7917,0.48209336050648643,0.48095,0.20830000000000004,32.0,-35.81493587189033
wbcheater,Łukasz Majksner,Team International A,19.0,36.0,0.5278,,0.5278,0.5278,0.0,0.40395734420259455,0.6782333333333334,1.0,32.0,-36.79706374327878
wbcmichi,Michal Ferdinandy,Slovakia,46.0,108.0,0.4259,0.3072285848246112,0.1389,0.75,0.6111,0.4259,0.4336,0.3889,43.0,-37.22221884088042
wbcangst,Piotr Małowiejski,Poland B,29.0,72.0,0.4028,0.0982171319068114,0.3333,0.4722,0.1389,0.3679181614475421,0.53125,0.8611,46.0,-38.31703340953289
wbcbogimp,Anton Efremov,Team International B,34.5,72.0,0.4792,0.5008437331144316,0.125,0.8333,0.7083,0.4377020431123688,0.48113333333333336,0.29169999999999996,38.0,-38.45898727040643
wbcperoxid,Štěpán Tesařík,Team International D,43.0,108.0,0.3981,0.2103265160015097,0.25,0.6389,0.3889,0.3981,0.6017888888888889,0.6111,49.0,-40.40266730992792
wbcshpek,Radim Kostlivý,Czechia E,45.0,108.0,0.4167,0.3274518183387189,0.0556,0.6944,0.6388,0.4167,0.5392666666666667,0.36119999999999997,44.0,-40.587438185252644
wbccoldmind,Stanislav Hyžík jr.,Team International C,39.0,108.0,0.3611,0.1821442926180596,0.1667,0.5278,0.3611000000000001,0.3611,0.5105444444444445,0.6388999999999999,50.5,-41.1563203753329
wbcgeordie,Stanislav Hyžík sr.,Team International C,29.0,84.0,0.3452,0.1849488307613757,0.0833,0.4444,0.3611,0.3266713137171396,0.45007142857142857,0.6389,52.0,-42.69856370090396
wbcuida,Liu Xiangbo,China,44.0,108.0,0.4074,0.5132066542826583,0.1111,1.0,0.8889,0.4074,0.4696444444444444,0.11109999999999998,45.0,-42.92356338917693
wbcfojtman,Jakub Fojtík,Czechia D,38.5,96.0,0.401,0.4611531668907124,0.1944,1.0,0.8056,0.39091250031084257,0.495325,0.19440000000000002,47.0,-43.81434610270999
wbcdistilfire,Petr Podolský,Team International D,39.0,108.0,0.3611,0.2222,0.1389,0.5833,0.4444,0.3611,0.6094,0.5556,50.5,-44.297473914591805
wbcpiggi,Matěj Holub,Czechia D,24.0,60.0,0.4,0.4330127018922193,0.25,1.0,0.75,0.3497846910828136,0.45444000000000007,0.25,48.0,-45.64851684705968
wbcadelstepan,Libor Krejčíř,Czechia F,21.0,72.0,0.2917,0.2160211216524903,0.1389,0.4444,0.3055,0.2664392445239524,0.5049333333333333,0.6945,53.0,-48.16281105549699
