nick_a,nick_b,games,a_wins,b_wins,draws,p_a_wins,ci_lower,ci_upper,uncertainty
wbcd,wbcuida,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcd,wbcyu20,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbcdeafbat,wbcg3m,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcdeafbat,wbcgenghis,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcdeafbat,wbcmichi,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcdistilfire,wbc1211,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcdistilfire,wbcangst,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbcdistilfire,wbcbb,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcdistilfire,wbcbeetle,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcdistilfire,wbcnguyenminh,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcdistilfire,wbcpeaceman,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcdistilfire,wbcplayer,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcdistilfire,wbcquantum,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcdistilfire,wbcsiwer,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcfojtman,wbcciaran,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcfojtman,wbccsaba,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcfojtman,wbciron,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcfojtman,wbctorpe,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcfojtman,wbczoli,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcfurla,wbcangst,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcfurla,wbccrosslet,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcfurla,wbcheater,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbcfurla,wbckremufka,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcfurla,wbcmatiss,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcfurla,wbcsiwer,1,0,0,1,0.5,0.09429932405024609,0.9057006759497539,0.8114013518995078
wbcfuzaty,wbcbromozel,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcfuzaty,wbcfurla,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcg3m,wbc3ifndef,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcg3m,wbciwbtc,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcg3m,wbcmartez,1,1,0,0,0.6,0.19412044968324338,0.932414013511457,0.7382935638282137
wbcgenghis,wbc3ifndef,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcgenghis,wbciwbtc,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcgenghis,wbcmartez,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcgeordie,wbcalleb,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
wbcgeordie,wbcdeafbat,1,0,1,0,0.4,0.06758598648854294,0.8058795503167565,0.7382935638282135
